tecnica;mean_absolute_error;mean_squared_error;mean_squared_log_error;median_absolute_error;identificador_aleatorio
TheilSenRegressor;0.7089783281733746;1.4551083591331269;0.09343308907746983;1.0;4742567
KNeighborsRegressor;0.3970588235294117;0.4868421052631579;0.010650738409908114;0.0;4758694
TheilSenRegressor;0.631578947368421;0.7879256965944272;0.01778968924014236;1.0;4788429
RandomForestRegressor;0.40092879256965946;0.4674922600619195;0.010207446377457066;0.0;480130
MLPRegressor;0.5905572755417957;0.7267801857585139;0.015765968881791943;1.0;4838305
KNeighborsRegressor;0.3931888544891641;0.4736842105263158;0.010385058090728145;0.0;4921564
LinearRegression;0.4961300309597523;0.5781733746130031;0.012461488901829978;0.0;498526
SGDRegressor;0.6199690402476781;0.7515479876160991;0.016610333452514;1.0;5051748
MLPRegressor;0.4961300309597523;0.5843653250773994;0.012588660079013029;0.0;5063701
SGDRegressor;0.5890092879256966;0.7082043343653249;0.015398697992073097;1.0;5075043
TheilSenRegressor;0.5913312693498453;1.0665634674922602;0.05341397180774871;0.0;5129128
SGDRegressor;3.752321981424149;15.308049535603715;0.2566536618437374;4.0;5154729
KNeighborsRegressor;0.4752321981424149;0.6037151702786377;0.013328122925246476;0.0;5245951
KNeighborsRegressor;0.4736842105263158;0.5913312693498453;0.013024303272933795;0.0;5254109
BaggingRegressor;0.4527863777089784;0.5719814241486069;0.0125840836821626;0.0;5285545
HuberRegressor;0.5054179566563467;0.6277089783281734;0.013576902400715265;0.0;5298006
PassiveAggressiveRegressor;0.8103715170278638;1.2639318885448916;0.030023958829045825;1.0;5314253
RandomForestRegressor;0.3900928792569661;0.4752321981424149;0.01039923972136785;0.0;5369524
BaggingRegressor;0.38699690402476783;0.44891640866873067;0.009870921551009526;0.0;5421258
BaggingRegressor;0.3815789473684211;0.4605263157894737;0.010138865438262805;0.0;545428
GradientBoostingRegressor;0.44969040247678016;0.5162538699690402;0.011202228444620854;0.0;5530551
MLPRegressor;0.4775541795665635;0.5565015479876161;0.012109005744930757;0.0;5540800
AdaBoostRegressor;0.5348297213622291;0.6199690402476781;0.013508883239842293;0.0;5544715
ExtraTreesRegressor;0.3931888544891641;0.4860681114551084;0.010664359638153528;0.0;5568907
RandomForestRegressor;0.41563467492260064;0.5069659442724458;0.011120688136762487;0.0;5571269
KNeighborsRegressor;0.40634674922600617;0.489938080495356;0.01074771543746551;0.0;5588909
LinearRegression;0.5038699690402477;0.5905572755417957;0.012716349585085218;0.0;5596639
ExtraTreeRegressor;0.5557275541795665;0.8250773993808049;0.01871779670197956;0.0;5600317
BaggingRegressor;0.5038699690402477;0.6524767801857585;0.014342836620893275;0.0;5649263
BaggingRegressor;0.3986068111455108;0.4837461300309597;0.01065726614587338;0.0;5662633
RadiusNeighborsRegressor;4.3328173374613;25.76780185758513;2.7223953435239;5.0;5671330
RadiusNeighborsRegressor;0.6191950464396285;0.7492260061919505;0.016560077769856178;1.0;5686222
ExtraTreeRegressor;0.5379256965944272;0.8010835913312694;0.01757881873073568;0.0;5731546
AdaBoostRegressor;0.5750773993808049;0.6787925696594427;0.014935878849294003;1.0;5814134
TheilSenRegressor;0.6849845201238389;1.421826625386997;0.0924860684279284;1.0;5868465
ExtraTreeRegressor;0.5386996904024768;0.7693498452012384;0.017113656586147937;0.0;5925984
BaggingRegressor;0.4272445820433437;0.5139318885448917;0.011292546603119373;0.0;6011487
ExtraTreesRegressor;0.369969040247678;0.4442724458204335;0.009794363570345441;0.0;6026854
AdaBoostRegressor;0.5178018575851393;0.6029411764705882;0.012990827216190595;0.0;6030422
ExtraTreeRegressor;0.5232198142414861;0.7445820433436533;0.016836286226636573;0.0;6063839
RandomForestRegressor;0.38699690402476783;0.4674922600619195;0.010298298279065532;0.0;6071847
MLPRegressor;0.5007739938080495;0.5843653250773994;0.012591310740471954;0.0;6093197
ExtraTreesRegressor;0.3606811145510836;0.4473684210526316;0.009932817839568248;0.0;6119436
PassiveAggressiveRegressor;0.5936532507739938;0.7577399380804953;0.01640869836148913;1.0;613514
RadiusNeighborsRegressor;1.9558823529411764;10.554953560371516;1.0989429988746882;0.5;6140764
TheilSenRegressor;2.773219814241485;12.034829721362224;0.9878207601505404;2.0;6150631
PassiveAggressiveRegressor;0.9620743034055728;1.6447368421052633;0.04196039458742621;1.0;6199198
KNeighborsRegressor;0.56656346749226;0.7089783281733746;0.01552518321408386;1.0;6215864
RadiusNeighborsRegressor;0.4829721362229102;0.5959752321981424;0.013426096991978151;0.0;6220298
LinearRegression;0.4969040247678019;0.586687306501548;0.012600775694341926;0.0;6290718
LinearRegression;0.5201238390092879;0.6455108359133127;0.014109655803786925;0.0;6335020
BaggingRegressor;0.5518575851393189;0.7438080495356038;0.01628672653384288;0.0;6347026
PassiveAggressiveRegressor;0.7647058823529411;1.0510835913312693;0.024214225930340484;1.0;6358187
ExtraTreeRegressor;0.5185758513931888;0.7461300309597523;0.016553387439160714;0.0;6394280
PassiveAggressiveRegressor;1.293343653250774;2.791795665634675;0.0616101616498299;1.0;639961
SGDRegressor;0.7507739938080495;1.094427244582043;0.027314816446569964;1.0;6434474
RandomForestRegressor;0.42027863777089786;0.5224458204334366;0.011495454253153473;0.0;6476372
HuberRegressor;0.4914860681114551;0.5905572755417957;0.012725975038263173;0.0;6565068
BaggingRegressor;0.5394736842105263;0.7546439628482973;0.016794335866106472;0.0;6604990
SGDRegressor;0.5681114551083591;0.7136222910216719;0.0155735545857849;1.0;6674798
KNeighborsRegressor;0.3622291021671827;0.4380804953560372;0.009653538432819084;0.0;6685453
MLPRegressor;0.5340557275541795;0.6656346749226006;0.01453703271829736;0.0;6714473
SGDRegressor;0.5054179566563467;0.6122291021671826;0.01324071779368747;0.0;6727456
HuberRegressor;0.56656346749226;0.6950464396284829;0.015020326947788046;1.0;6852000
MLPRegressor;0.5069659442724458;0.6153250773993808;0.013175065689525915;0.0;6865661
RadiusNeighborsRegressor;0.4922600619195047;0.6068111455108359;0.013557063232664576;0.0;6871909
PassiveAggressiveRegressor;0.5394736842105263;0.663312693498452;0.014113417560596015;0.0;6889321
ExtraTreesRegressor;0.3614551083591331;0.4373065015479876;0.009720314557224451;0.0;6939954
ExtraTreeRegressor;0.5688854489164087;0.8660990712074303;0.01924390994877567;0.0;7002316
ExtraTreeRegressor;0.510061919504644;0.7236842105263158;0.015962783436524755;0.0;7027585
ExtraTreesRegressor;0.36764705882352944;0.4295665634674923;0.009413947942841954;0.0;7058651
RandomForestRegressor;0.4102167182662539;0.4984520123839009;0.010876849597244406;0.0;7121766
RandomForestRegressor;0.4380804953560372;0.5309597523219814;0.01170658283736314;0.0;7137412
HuberRegressor;0.5023219814241486;0.6029411764705882;0.013051270092826715;0.0;714201
SGDRegressor;0.6006191950464397;1.2910216718266254;0.08881644845965914;0.0;7166003
LinearRegression;0.5681114551083591;0.6934984520123839;0.015028304423873125;1.0;7228813
PassiveAggressiveRegressor;0.7701238390092879;1.188080495356037;0.026366259945054385;1.0;7234893
KNeighborsRegressor;0.4744582043343653;0.5719814241486069;0.012661596765172176;0.0;7245483
HuberRegressor;0.48993808049535603;0.5812693498452013;0.012508214476648306;0.0;729936
PassiveAggressiveRegressor;0.9210526315789472;1.5;0.030156398678888963;1.0;7299570
MLPRegressor;0.6215170278637769;0.7515479876160991;0.01661525369576455;1.0;7341161
HuberRegressor;0.5147058823529411;0.6246130030959752;0.0134475703690611;0.0;737702
HuberRegressor;0.4938080495356037;0.5804953560371517;0.012494567628961496;0.0;7395235
MLPRegressor;0.5038699690402477;0.6075851393188855;0.013073436868907013;0.0;7406449
GradientBoostingRegressor;0.4442724458204335;0.5154798761609907;0.011209954133559815;0.0;754072
RandomForestRegressor;0.3885448916408669;0.4643962848297213;0.010181518888489295;0.0;7554261
ExtraTreeRegressor;0.5309597523219814;0.7445820433436533;0.016190568511169536;0.0;7614402
BaggingRegressor;0.4086687306501548;0.4845201238390093;0.010700390989994072;0.0;764166
GradientBoostingRegressor;0.4520123839009288;0.5201238390092879;0.0112768220236147;0.0;7642437
BaggingRegressor;0.3606811145510836;0.4226006191950464;0.00923462989992752;0.0;7646377
GradientBoostingRegressor;0.5572755417956656;0.6857585139318886;0.014925504763268004;0.0;7661837
KNeighborsRegressor;0.3900928792569661;0.4736842105263158;0.010426715333484072;0.0;7699151
